front	back	difficulty	source	source_url
Capsicum annuum	Chile peppers	1		
Capsicum annuum	capsicum_annuum_1.jpg	2	H. Zell	https://commons.wikimedia.org/wiki/File:Capsicum_annuum_003.JPG
Capsicum annuum	capsicum_annuum_2.jpg	2	Franz Eugen Köhler	https://commons.wikimedia.org/wiki/File:Illustration_Capsicum_annuum0.jpg
Capsicum annuum	capsicum_annuum_3.jpg	2	Prenn	https://commons.wikimedia.org/wiki/File:Capsicum_annuum_(2).JPG
Capsicum annuum	capsicum_annuum_4.jpg	2	Ton Rulkens	https://commons.wikimedia.org/wiki/File:Capsicum_annuum_(8307305118).jpg
Capsicum annuum	The source of cayenne, chili powder, and paprika	2		
Capsicum annuum	Family: Solanaceae	5		
Malus pumila	Apple	1		
Malus pumila	Also called Malus domestica	2		
Malus pumila	Native to Asia	5		
Malus pumila	malus_pumila_1.jpg	2	Franz Eugen Köhler	https://commons.wikimedia.org/wiki/File:Malus_domestica_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-108.jpg
Malus pumila	malus_pumila_2.jpg	2	Wikipedia user: Abhijit Tembhekar	https://commons.wikimedia.org/wiki/File:Red_Apple.jpg
Malus pumila	malus_pumila_3.jpg	2	Opioła Jerzy	https://commons.wikimedia.org/wiki/File:Malus_domestica_a1.jpg
Malus pumila	malus_pumila_4.jpg	2	Wikipedia user: Maseltov	https://commons.wikimedia.org/wiki/File:Apfelbaum_Winterrambour_Hochstamm.jpg
Malus pumila	Family: Rosaceae	5		
Pyrus communis	European pear	1		
Pyrus communis	common pear	1		
Pyrus communis	pyrus_communis_1.jpg	2	Keith Weller	https://commons.wikimedia.org/wiki/File:Pears.jpg
Pyrus communis	pyrus_communis_2.jpg	2	wikipedia user: Jacek Halicki	https://commons.wikimedia.org/wiki/File:2015_Kwiatostan_gruszy_pospolitej.jpg
Pyrus communis	pyrus_communis_3.jpg	2		https://commons.wikimedia.org/wiki/File:Pyrus_communis_orchard,_perenboomgaard.jpg
Pyrus communis	Family: Rosaceae	5		
Ocimum basilicum	Basil	1		
Ocimum basilicum	ocimum_basilicum_1.jpg	2	Wikipedia user: Castielli	https://commons.wikimedia.org/wiki/File:Basil-Basilico-Ocimum_basilicum-albahaca.jpg
Ocimum basilicum	ocimum_basilicum_2.jpg	2		
Ocimum basilicum	ocimum_basilicum_3.jpg	2	Wikipedia user: Risacher	https://commons.wikimedia.org/wiki/File:Thai_basil_with_flowers.jpg
Ocimum basilicum	ocimum_basilicum_4.jpg	2	Wikipedia user: Mokkie	https://commons.wikimedia.org/wiki/File:Sweet_Basil_(Ocimum_basilicum)_3.jpg
Ocimum basilicum	Family: Lamiaceae	5		
Cucurbita pepo	Varieties of winter squash and pumpkin	1		
Cucurbita pepo	Acorn squash	2		
Cucurbita pepo	Pumpkin	2		
Cucurbita pepo	Zucchini	2		
Cucurbita pepo	Pattypan squash	3		
Cucurbita pepo	cucurbita_pepo_1.jpg	3	Wikipedia user: Forest & Kim Starr	https://commons.wikimedia.org/wiki/File:Starr_070730-7820_Cucurbita_pepo.jpg
Cucurbita pepo	cucurbita_pepo_2.jpg	3	Petr Kratochvil	http://www.publicdomainpictures.net/view-image.php?image=195241&picture=pumpkin-patch
Cucurbita pepo	cucurbita_pepo_3.jpg	4	Wikipedia user: Jake7401	https://commons.wikimedia.org/wiki/File:Zucchiniflower.jpg
Cucurbita pepo	cucurbita_pepo_4.jpg	3	Wikipedia user: Jamain	https://commons.wikimedia.org/wiki/File:Courgette_J1.JPG
Cucurbita pepo	cucurbita_pepo_5.jpg	3	Wikipedia user: Rameshng	https://commons.wikimedia.org/wiki/File:Pattypan_squash_at_lalbagh7446.JPG
Cucurbita pepo	cucurbita_pepo_6.jpg	3	Wikipedia user: Green Mountain Girls Farm	https://commons.wikimedia.org/wiki/File:Cucurbita_pepo_Delicata_squash_Green_Mountain_Girls_Farm.jpg
Cucurbita pepo	cucurbita_pepo_7.jpg	4	Wikipedia user: AngledLuffa	https://en.wikipedia.org/wiki/File:Male_spaghetti_squash_flower.jpg
Cucurbita pepo	cucurbita_pepo_8.jpg	3	Wikipedia user: Rik Schuiling / TropCrop-TCS	https://commons.wikimedia.org/wiki/File:Golden_zucchinis_produced_in_the_Netherlands_for_sale_in_a_supermarket_in_Montpellier,_France,_April_2013.jpg
Cucurbita pepo	Family: Cucurbitaceae	5		
Piper nigrum	piper_nigrum.jpg	2	Wikipedia user: K Hari Krishnan	https://upload.wikimedia.org/wikipedia/commons/3/31/Black_Pepper_%28Piper_nigrum%29_fruits.jpg
Piper nigrum	piper_nigrum_2.jpg	2	Franz Eugen Köhler, Köhlers Medizinal-Pflanzen	https://upload.wikimedia.org/wikipedia/commons/f/fd/Piper_nigrum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-107.jpg
Piper nigrum	piper_nigrum_3.jpg	2	Wikipedia user: J.M.Garg	https://upload.wikimedia.org/wikipedia/commons/c/c6/Piper_nigrum_W_IMG_2444.jpg
Piper nigrum	piper_nigrum_4.jpg	4	Wikipedia user: A.D.Balasubramaniyan	https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Pepper_vine.JPG/450px-Pepper_vine.JPG
Piper nigrum	Family: Piperaceae	5		
Piper nigrum	Black pepper, green pepper and white pepper	1		
Piper nigrum	The worlds most traded spice	5		
Solanum lycopersicum	Tomato	1		
Solanum lycopersicum	solanum_lycopersicum.jpg	3	Wikipedia user: Victor M. Vicente Selvas	https://upload.wikimedia.org/wikipedia/commons/a/a1/Flor_tomaca_057.jpg
Solanum lycopersicum	solanum_lycopersicum_2.jpg	3	Wikipedia user: Earth100	https://upload.wikimedia.org/wikipedia/commons/6/6f/Tomato_flower_and_young_fruit.jpg
Solanum lycopersicum	solanum_lycopersicum_3.jpg	3	Wikipedia user: Forest & Kim Starr	https://upload.wikimedia.org/wikipedia/commons/0/0b/Starr_070124-3934_Solanum_lycopersicum_var._cerasiforme.jpg
Solanum lycopersicum	solanum_lycopersicum_4.jpg	2	Wikipedia user: Forest & Kim Starr	https://upload.wikimedia.org/wikipedia/commons/2/25/Starr_070124-3921_Solanum_lycopersicum_var._cerasiforme.jpg
Solanum lycopersicum	solanum_lycopersicum_5.jpg	1	Wikipedia user: Böhringer Friedrich	https://upload.wikimedia.org/wikipedia/commons/6/6e/Solanum_lycopersicum%2C_Tomate_2.JPG
Solanum lycopersicum	solanum_lycopersicum_6.jpg	1	flickr user: See-ming Lee	https://farm3.staticflickr.com/2575/3868438181_1603578af9_o_d.jpg
Solanum lycopersicum	Family: Solanaceae	4		
Solanum lycopersicum	Seeds must be dried or fermented to germinate	5		
Solanum lycopersicum	solanum_lycopersicum_7.jpg	3	Wikipedia user: Dennis Brown	https://upload.wikimedia.org/wikipedia/en/4/4d/Tomato_27_days_from_planting_seeds.jpg
Daucus carota	Carrot	1		
Daucus carota	Biennial	3		
Daucus carota	Family: Apiaceae	4		
Daucus carota	daucus_carota.jpg	1	Stephen Ausmus	https://upload.wikimedia.org/wikipedia/commons/3/32/Carrots_of_many_colors.jpg
Daucus carota	daucus_carota_2.jpg	3	Wikipedia user: Christian Fischer	https://upload.wikimedia.org/wikipedia/commons/b/ba/DaucusCarota.jpg
Daucus carota	daucus_carota_3.jpg	4	pixabay user: Pezibear	https://cdn.pixabay.com/photo/2016/08/15/12/52/carrots-1595308_960_720.jpg
Daucus carota	daucus_carota_4.jpg	1	flickr user: color line	https://farm1.staticflickr.com/22/35819369_3dfa63642b_b_d.jpg
Vaccinium corymbosum	vaccinium_corymbosum.jpg	1		https://upload.wikimedia.org/wikipedia/commons/1/17/Vaccinium_corymbosum%2801%29.jpg
Vaccinium corymbosum	Northern highbush blueberry	1		
Vaccinium corymbosum	vaccinium_corymbosum_2.jpg	1	Wikipedia user: Darkone	https://upload.wikimedia.org/wikipedia/commons/1/14/Vaccinium_corymbosum_Strauch.jpg
Vaccinium corymbosum	vaccinium_corymbosum_3.jpg	4	Wikipedia user: Ram-Man (Derek Ramsey)	https://upload.wikimedia.org/wikipedia/commons/8/8b/Highbush_Blueberry_Vaccinium_corymbosum_Branch_3008px.jpg
Vaccinium corymbosum	vaccinium_corymbosum_4.jpg	1	Wikipedia user: Meggar	https://upload.wikimedia.org/wikipedia/commons/d/df/Vaccinium_corymbosum_1.jpg
Vaccinium corymbosum	vaccinium_corymbosum_5.jpg	5	Wikipedia user: Ram-Man (Derek Ramsey)	https://upload.wikimedia.org/wikipedia/commons/e/ed/Highbush_Blueberry_Vaccinium_corymbosum_Sapling_2000px.jpg
Vaccinium corymbosum	AKA blue huckleberry, tall huckleberry, swamp huckleberry, high blueberry, and swamp blueberry	3		
Vaccinium corymbosum	Deciduous shrub	3		
Vaccinium corymbosum	The most common commercially grown blueberry	3		
Vaccinium corymbosum	Prefers acidic soil	4		
